Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ContosoUniversity\ContosoUniversity.csproj,File,ContosoUniversity\ContosoUniversity.csproj,,,EntityFramework 6.1.3,,,,,"EntityFramework, 6.1.3  Recommendation:  Remove EntityFramework, and replace with new package EntityFramework 6.5.1"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ContosoUniversity\ContosoUniversity.csproj,File,ContosoUniversity\ContosoUniversity.csproj,,,Microsoft.ApplicationInsights 2.1.0,,,,,"Microsoft.ApplicationInsights, 2.1.0  Recommendation:  Microsoft.ApplicationInsights, 3.0.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ContosoUniversity\ContosoUniversity.csproj,File,ContosoUniversity\ContosoUniversity.csproj,,,Microsoft.ApplicationInsights.Agent.Intercept 1.2.1,,,,,"Microsoft.ApplicationInsights.Agent.Intercept, 1.2.1  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ContosoUniversity\ContosoUniversity.csproj,File,ContosoUniversity\ContosoUniversity.csproj,,,Microsoft.ApplicationInsights.DependencyCollector 2.1.0,,,,,"Microsoft.ApplicationInsights.DependencyCollector, 2.1.0  Recommendation:  Microsoft.ApplicationInsights.DependencyCollector, 2.23.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ContosoUniversity\ContosoUniversity.csproj,File,ContosoUniversity\ContosoUniversity.csproj,,,Microsoft.ApplicationInsights.PerfCounterCollector 2.1.0,,,,,"Microsoft.ApplicationInsights.PerfCounterCollector, 2.1.0  Recommendation:  Microsoft.ApplicationInsights.PerfCounterCollector, 2.23.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ContosoUniversity\ContosoUniversity.csproj,File,ContosoUniversity\ContosoUniversity.csproj,,,Microsoft.ApplicationInsights.Web 2.1.0,,,,,"Microsoft.ApplicationInsights.Web, 2.1.0  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ContosoUniversity\ContosoUniversity.csproj,File,ContosoUniversity\ContosoUniversity.csproj,,,Microsoft.ApplicationInsights.WindowsServer 2.1.0,,,,,"Microsoft.ApplicationInsights.WindowsServer, 2.1.0  Recommendation:  Microsoft.ApplicationInsights.WindowsServer, 2.23.0"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ContosoUniversity\ContosoUniversity.csproj,File,ContosoUniversity\ContosoUniversity.csproj,,,Microsoft.ApplicationInsights.WindowsServer.TelemetryChannel 2.1.0,,,,,"Microsoft.ApplicationInsights.WindowsServer.TelemetryChannel, 2.1.0  Recommendation:  Microsoft.ApplicationInsights.WindowsServer.TelemetryChannel, 2.23.0"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,ContosoUniversity\ContosoUniversity.csproj,File,ContosoUniversity\ContosoUniversity.csproj,,,Microsoft.CodeDom.Providers.DotNetCompilerPlatform 1.0.0,,,,,"Microsoft.CodeDom.Providers.DotNetCompilerPlatform, 1.0.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,ContosoUniversity\ContosoUniversity.csproj,File,ContosoUniversity\ContosoUniversity.csproj,,,Microsoft.Net.Compilers 1.0.0,,,,,"Microsoft.Net.Compilers, 1.0.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,ContosoUniversity\ContosoUniversity.csproj,File,ContosoUniversity\ContosoUniversity.csproj,,,EntityFramework 6.1.3,,,,,"EntityFramework, 6.1.3  Recommendation:  Should be replaced. Remove EntityFramework, and replace with new package EntityFramework, 6.5.1"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,ContosoUniversity\ContosoUniversity.csproj,File,ContosoUniversity\ContosoUniversity.csproj,,,Microsoft.ApplicationInsights 2.1.0,,,,,"Microsoft.ApplicationInsights, 2.1.0  Recommendation:  This version is deprecated. Please use the most recent version. Remove Microsoft.ApplicationInsights, and replace with new package Microsoft.ApplicationInsights, 3.0.0"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,ContosoUniversity\ContosoUniversity.csproj,File,ContosoUniversity\ContosoUniversity.csproj,,,Microsoft.ApplicationInsights.DependencyCollector 2.1.0,,,,,"Microsoft.ApplicationInsights.DependencyCollector, 2.1.0  Recommendation:  This version is deprecated. Please use the most recent version. Remove Microsoft.ApplicationInsights.DependencyCollector, and replace with new package Microsoft.ApplicationInsights.DependencyCollector, 2.23.0"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,ContosoUniversity\ContosoUniversity.csproj,File,ContosoUniversity\ContosoUniversity.csproj,,,Microsoft.ApplicationInsights.PerfCounterCollector 2.1.0,,,,,"Microsoft.ApplicationInsights.PerfCounterCollector, 2.1.0  Recommendation:  This version is deprecated. Please use the most recent version. Remove Microsoft.ApplicationInsights.PerfCounterCollector, and replace with new package Microsoft.ApplicationInsights.PerfCounterCollector, 2.23.0"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,ContosoUniversity\ContosoUniversity.csproj,File,ContosoUniversity\ContosoUniversity.csproj,,,Microsoft.ApplicationInsights.Web 2.1.0,,,,,"Microsoft.ApplicationInsights.Web, 2.1.0  Recommendation:  This version is deprecated. Please use the most recent version."
